episode,t,obs,act,rew
0,0,"(0, 4)",0,-0.67
0,1,"(0, 3)",1,-0.67
0,2,"(1, 3)",1,-0.67
0,3,"(2, 3)",1,-0.67
0,4,"(3, 3)",1,-0.67
0,5,"(4, 3)",1,-0.67
0,6,"(5, 3)",1,-0.67
0,7,"(6, 3)",1,-0.67
0,8,"(7, 3)",1,-0.67
0,9,"(8, 3)",0,-0.67
0,10,"(8, 2)",1,-0.67
0,11,"(9, 2)",0,-0.67
0,12,"(9, 1)",0,66.67
1,0,"(0, 4)",1,-0.67
1,1,"(1, 4)",1,-0.67
1,2,"(2, 4)",1,-0.67
1,3,"(3, 4)",0,-0.67
1,4,"(3, 3)",1,-0.67
1,5,"(4, 3)",1,-0.67
1,6,"(5, 3)",1,-0.67
1,7,"(6, 3)",0,-0.67
1,8,"(6, 2)",0,-0.67
1,9,"(6, 1)",0,-0.67
1,10,"(6, 0)",1,-0.67
1,11,"(7, 0)",1,-0.67
1,12,"(8, 0)",1,66.67
2,0,"(0, 4)",0,-0.67
2,1,"(0, 3)",1,-0.67
2,2,"(1, 3)",1,-0.67
2,3,"(2, 3)",1,-0.67
2,4,"(3, 3)",1,-0.67
2,5,"(4, 3)",0,-0.67
2,6,"(4, 2)",0,-0.67
2,7,"(4, 1)",0,-0.67
2,8,"(4, 0)",1,-0.67
2,9,"(5, 0)",1,-0.67
2,10,"(6, 0)",1,-0.67
2,11,"(7, 0)",1,-0.67
2,12,"(8, 0)",1,66.67
3,0,"(0, 4)",0,-0.67
3,1,"(0, 3)",1,-0.67
3,2,"(1, 3)",1,-0.67
3,3,"(2, 3)",1,-0.67
3,4,"(3, 3)",0,-0.67
3,5,"(3, 2)",1,-0.67
3,6,"(4, 2)",0,-0.67
3,7,"(4, 1)",0,-0.67
3,8,"(4, 0)",1,-0.67
3,9,"(5, 0)",1,-0.67
3,10,"(6, 0)",1,-0.67
3,11,"(7, 0)",1,-0.67
3,12,"(8, 0)",1,66.67
4,0,"(0, 4)",0,-0.67
4,1,"(0, 3)",1,-0.67
4,2,"(1, 3)",1,-0.67
4,3,"(2, 3)",1,-0.67
4,4,"(3, 3)",0,-0.67
4,5,"(3, 2)",0,-0.67
4,6,"(3, 1)",1,-0.67
4,7,"(4, 1)",1,-0.67
4,8,"(5, 1)",0,-0.67
4,9,"(5, 0)",1,-0.67
4,10,"(6, 0)",1,-0.67
4,11,"(7, 0)",1,-0.67
4,12,"(8, 0)",1,66.67
5,0,"(0, 4)",1,-0.67
5,1,"(1, 4)",1,-0.67
5,2,"(2, 4)",0,-0.67
5,3,"(2, 3)",1,-0.67
5,4,"(3, 3)",0,-0.67
5,5,"(3, 2)",0,-0.67
5,6,"(3, 1)",1,-0.67
5,7,"(4, 1)",0,-0.67
5,8,"(4, 0)",1,-0.67
5,9,"(5, 0)",1,-0.67
5,10,"(6, 0)",1,-0.67
5,11,"(7, 0)",1,-0.67
5,12,"(8, 0)",1,66.67
6,0,"(0, 4)",1,-0.67
6,1,"(1, 4)",0,-0.67
6,2,"(1, 3)",0,-0.67
6,3,"(1, 2)",0,-0.67
6,4,"(1, 1)",0,-0.67
6,5,"(1, 0)",1,-0.67
6,6,"(2, 0)",1,-0.67
6,7,"(3, 0)",1,-0.67
6,8,"(4, 0)",1,-0.67
6,9,"(5, 0)",1,-0.67
6,10,"(6, 0)",1,-0.67
6,11,"(7, 0)",1,-0.67
6,12,"(8, 0)",1,66.67
7,0,"(0, 4)",1,-0.67
7,1,"(1, 4)",1,-0.67
7,2,"(2, 4)",0,-0.67
7,3,"(2, 3)",1,-0.67
7,4,"(3, 3)",0,-0.67
7,5,"(3, 2)",0,-0.67
7,6,"(3, 1)",1,-0.67
7,7,"(4, 1)",0,-0.67
7,8,"(4, 0)",1,-0.67
7,9,"(5, 0)",1,-0.67
7,10,"(6, 0)",1,-0.67
7,11,"(7, 0)",1,-0.67
7,12,"(8, 0)",1,66.67
8,0,"(0, 4)",0,-0.67
8,1,"(0, 3)",1,-0.67
8,2,"(1, 3)",0,-0.67
8,3,"(1, 2)",0,-0.67
8,4,"(1, 1)",1,-0.67
8,5,"(2, 1)",1,-0.67
8,6,"(3, 1)",0,-0.67
8,7,"(3, 0)",1,-0.67
8,8,"(4, 0)",1,-0.67
8,9,"(5, 0)",1,-0.67
8,10,"(6, 0)",1,-0.67
8,11,"(7, 0)",1,-0.67
8,12,"(8, 0)",1,66.67
9,0,"(0, 4)",0,-0.67
9,1,"(0, 3)",1,-0.67
9,2,"(1, 3)",0,-0.67
9,3,"(1, 2)",0,-0.67
9,4,"(1, 1)",0,-0.67
9,5,"(1, 0)",1,-0.67
9,6,"(2, 0)",1,-0.67
9,7,"(3, 0)",1,-0.67
9,8,"(4, 0)",1,-0.67
9,9,"(5, 0)",1,-0.67
9,10,"(6, 0)",1,-0.67
9,11,"(7, 0)",1,-0.67
9,12,"(8, 0)",1,66.67
